timestamp_utc,block_number,miner,block_hash
2025-10-31T15:47:04.897384+00:00,1,node01:18443,0584bfa9876ec20736e85b7085df2f38337f9ca65d83e36c991edd9ec25f3e0c
2025-10-31T15:47:10.007395+00:00,2,node03:18443,759609ea37d2ad8b9137bfcf3496f005ee75614c0535e926df08e8268b0ce1f8
2025-10-31T15:47:15.023780+00:00,3,node02:18443,14df2ed60e5fb8f0fe19069854b7c1d3233ea9963ae8e8faccfd01652c43fb2f
2025-10-31T15:47:20.100003+00:00,4,node03:18443,75b2f7a24daa3897d0e667bc52f2c5d07fc42ca701abdf828f7c1641e8874347
2025-10-31T15:47:25.132025+00:00,5,node01:18443,77d43817ebf792431a2b5cefddcb79f37604bce3e5752b185fd90606b171ee44
2025-10-31T15:47:30.216787+00:00,6,node02:18443,3263e528ea333fcbd3041ef33ba8875980ab45a6366b5b086079cf4b268197e2
2025-10-31T15:47:35.301543+00:00,7,node01:18443,23a63777dd061d5b36491f1caf0b8fc7c0daa006c08c2a94b15dfa88ca1c2abf
2025-10-31T15:47:40.367608+00:00,8,node01:18443,25d609ce1a0bff37bd5f95aa4d238e24ff0819d2a1d571c33d32782853c847e0
2025-10-31T15:47:45.375938+00:00,9,node02:18443,58ae74a8cb5fe89bea62aa02041a24526097005a5994e414dd890b9c9b725e84
2025-10-31T15:47:50.403520+00:00,10,node02:18443,27cea814b427f693b05cfb0fb714b0470572e6e41cd391f3f806f9cca511b582
2025-10-31T15:47:55.491368+00:00,11,node01:18443,6b1955b92b6c36a6e9bedd3cc7717fff7dae905b799ca155d13af8ebc5637424
2025-10-31T15:48:00.515356+00:00,12,node01:18443,1b0b01ff3f1ca08b706acdf77d0ea7f8b356dd71c77c922811c05e1ef5541b7d
2025-10-31T15:48:05.537451+00:00,13,node01:18443,4daca220ee85634ec16d9095b30a770b2053b22f2da025ddde6c101d92ad2a89
2025-10-31T15:48:10.615819+00:00,14,node02:18443,039d9d2567e3752dfd2f29fc36260c3904b3ee0a3ac0da27daca4ea9be374f1e
2025-10-31T15:48:15.666658+00:00,15,node01:18443,644cddb319c206abb65291154a0185d9db47af2716bf37f140515f9bb49b56fe
2025-10-31T15:48:20.759077+00:00,16,node03:18443,0329517eec0d3578d3f30465a335b9af50a6904f3bf379f8e75b1f0eb0ac4cf0
2025-10-31T15:48:25.763078+00:00,17,node01:18443,75dcbb18b6beef99bdac732b5d4c3a869a70eea77a4354a48a7738ab259c22f9
2025-10-31T15:48:30.832036+00:00,18,node01:18443,35b268cb2efa01a395f3c197cd20799dd60a3f7211296a5033db1fb63d910896
2025-10-31T15:48:35.874937+00:00,19,node01:18443,219e78f78aced7c4a231c457fc7bab34520f68672596a5af97d792e5622ac79b
2025-10-31T15:48:40.933849+00:00,20,node01:18443,667f019cf3839104d8059b96c699b00d56b7fcfd642c5ec08b793c6311d949c0
2025-10-31T15:48:46.051604+00:00,21,node02:18443,6877cbc23f0e59a38b9e29821e01d8117f546eb9fef32ce5ae2e69f568ee6c3a
2025-10-31T15:48:51.066484+00:00,22,node03:18443,4c6d989704edf2964dc68e0e1d0f5ec21e3f4fff2cd9a30c185dc9493b3648b6
2025-10-31T15:48:56.105228+00:00,23,node01:18443,2e607655aedddc23bbcf7bf7682cc5e04fb4d2d24616f7106ca46fb60bdff913
2025-10-31T15:49:01.163952+00:00,24,node02:18443,3b8fce5252274afa30235aa9755873c4401753af6fa61a2b6bf2c6dc073f7bc4
2025-10-31T15:49:06.278783+00:00,25,node01:18443,3a81b99405a7ee75c3e71d75560b9fcd2a801a2109d53b8df4a32df62ad72c32
2025-10-31T15:49:11.376093+00:00,26,node02:18443,006355130e29af9bc0e26fb36bc5efcbba324d3d2a5cbc3ac76cd6ca383f8ab9
2025-10-31T15:49:16.427300+00:00,27,node03:18443,4bad5ccfc13126e46fb2b863586980e95bcb0fbd603c20abc75cae61d5c76e56
2025-10-31T15:49:21.482633+00:00,28,node02:18443,00f53a94ed82ee587059c3d4237b1930b4693339a3a74364db53634578e23a90
2025-10-31T15:49:26.704328+00:00,29,node02:18443,7bca3053d22ac678067f421c3feda5549b28359d33207ab2baa8e3252a1ad14d
2025-10-31T15:49:32.023939+00:00,30,node01:18443,34bf0c548745dc0bc445eeeb181e3a967a32f0830c55115f5de8f87105f77d10
2025-10-31T15:49:37.334159+00:00,31,node03:18443,0d204cdb7291add3a63e8e12064eb114ddca6fc06adedc0ae10b566e80c9fa92
2025-10-31T15:49:42.689026+00:00,32,node03:18443,6733fd2e60347d2823b249834b3c4e83f2d8fd0c111c2d4541dc9fc2f0d192a3
2025-10-31T15:49:48.019830+00:00,33,node02:18443,792b75dc881d38d578ecae1bb2e5bf55104598b3aeee1ed8f9585f99442f7ba3
2025-10-31T15:49:53.309087+00:00,34,node03:18443,4d4be4f8cbcfdae67498fec338e813b0b9980321747ffc971253284f1bfbe631
2025-10-31T15:49:58.659943+00:00,35,node03:18443,48df647de1ac24bfb0e698ce4b111f744d1461243448114d0a3269cdfd78fc11
2025-10-31T15:50:03.964414+00:00,36,node02:18443,6e7c11b81dc67c27406f4eeca3ce08b2f7a356fa9609ca9691fa54aed20e4f43
2025-10-31T15:50:09.289074+00:00,37,node03:18443,3a6947fa46ab3cb22a87e413a558c3c54cf52e6c577338236fc04dfd7664e276
2025-10-31T15:50:14.594247+00:00,38,node02:18443,112b206d41f000bf4cd880c69c9f9d10145435cb920f73922fceed84065ec72e
2025-10-31T15:50:19.811560+00:00,39,node02:18443,034868c895eb716d8f60fa5a45cdbcd7aa44d5d821425680b7d66ffa07edad5d
2025-10-31T15:50:25.054992+00:00,40,node02:18443,69530919978544afa930dad2e1aa7d56bd608c161ef81dd2828123ecdf227b83
2025-10-31T15:50:30.350954+00:00,41,node03:18443,4582194e5851d03177b88b1020b9c727cd57d9ef6791c3da85e9531250b9c0d4
2025-10-31T15:50:35.693836+00:00,42,node03:18443,6f3b3e5d6ceec02c690929489f06da2bfc0de5c02c97c368ba654bc51650fdee
2025-10-31T15:50:40.948563+00:00,43,node02:18443,049d694f35a7e73c8ba71b372ca0d4c24835795f41c44222f8a6ee61d5adb8dd
2025-10-31T15:50:46.167642+00:00,44,node03:18443,1ecdfedb01e3b6e1291f4b98cddbcd354fcdc325d49ab22c805bc41508412f18
2025-10-31T15:50:51.443623+00:00,45,node02:18443,01e42e969643b9013f5b8b307ffd668817530c5c69e41c2692d78959f402f5f6
2025-10-31T15:50:56.695732+00:00,46,node02:18443,735a2107371f7aab427f8b5ffe506e25c99b93875e7f0bfdb604d31f12634c99
2025-10-31T15:51:01.920604+00:00,47,node02:18443,3acac6854704d96ad588bd6486dd7b1112f10328285608cdb2c8d127c2c990f8
2025-10-31T15:51:07.139841+00:00,48,node02:18443,49240555bb803884e97147b2a01fa21b7d366a5ec27176d14d6ed77c53c1039c
2025-10-31T15:51:12.425898+00:00,49,node02:18443,7d2d37336543ee9f405ee2519a33d38a77aa673dfd638f88b4a1603f8c9b5ce7
2025-10-31T15:51:17.724625+00:00,50,node03:18443,0139a0a1e733885ccc7302811cb46c4dcb72864db52a54f0e1180ef16e6bef80
2025-10-31T15:51:23.040873+00:00,51,node03:18443,7e7d5bd2611de46f31ff46ce113d3e7891a92bb8eabfc121617f6cbe4f23c564
2025-10-31T15:51:28.318165+00:00,52,node02:18443,453698592028732fbda769b2e49a887fc8bb5dd3400ac8cfc0e0676ed85aee88
2025-10-31T15:51:33.557087+00:00,53,node03:18443,6bd81f27af97978807f069ff8d489d6c35c9eac1b8e71775b0bbbe4564ea24f4
2025-10-31T15:51:38.872735+00:00,54,node02:18443,1e94ce916bb0a088cf737b39798cf29df1f3950df98e380e76cd1d196a09be10
2025-10-31T15:51:44.177360+00:00,55,node02:18443,16d5e4f844e6a8850730093e77aba996750ae6c7291b35ee4ca56af4a284d6a4
2025-10-31T15:51:49.452198+00:00,56,node02:18443,6637eef64c1b7df9cfec4bbcb033ab4d1033fa9f1443ed470c968f1c5969fe3f
2025-10-31T15:51:54.700520+00:00,57,node02:18443,47cd8438bc17f03d5414f5db12d9c23990da0a7a77e67852a34f8281285be7f5
2025-10-31T15:51:59.949792+00:00,58,node03:18443,31a89ac416a375f367851fa00122d8ac139d7fd85533b6b9798711714b6ca92b
2025-10-31T15:52:05.227374+00:00,59,node03:18443,0e51896a1cd37bb3097d1c021ccd682e30cd1d4252a68dda6c7e64b77c6ebcbc
2025-10-31T15:52:10.536976+00:00,60,node02:18443,71a6b570e7c82e676b3a7fcb505ab2e20e8cbacd95eb4ae661709fd57b815df1
2025-10-31T15:52:15.772056+00:00,61,node02:18443,3e7bf992645340b76180a334c6966adf22c0589466effaf3f26f639d3321da50
2025-10-31T15:52:21.012927+00:00,62,node02:18443,1b70374aa3a7922a6e45d2ed7db95c4ab15f13472ba354c8160676521c6b610d
2025-10-31T15:52:26.044482+00:00,63,node01:18443,05a55dd099918b3fa1544d6b08783b796e878c2ac245fb80dfbe8871f352b74c
2025-10-31T15:52:31.311343+00:00,64,node02:18443,33162584357daa478ab2db5ce9dbadc13db275e3dfd4c6a78084d4f1d3d72b4a
2025-10-31T15:52:36.339259+00:00,65,node01:18443,6b3646a2db69b1a66632692b5dff4583ff6186e40f034efce5fbbac00c314ff3
