txid,submit_ts_utc,confirm_ts_utc,confirm_block_height
b27b8c1c6f94983077be82cb1e0ddb11a2e4dc2d7614536ea775c783e223cf5c,2025-11-02T16:34:54.609958+00:00,2025-11-02T16:35:17+00:00,143
f09bd3aeae077b536fcdb68bcf595d354216ce1438cc4ad7ac58984634be359f,2025-11-02T16:34:54.734487+00:00,2025-11-02T16:35:17+00:00,143
e62d17423e5dd1a586c9b5a09fddf5c4f27b24953c3b8be4b8817c40c650121b,2025-11-02T16:34:54.857269+00:00,2025-11-02T16:35:17+00:00,143
73d7ffeabaa6ff9ed41997f5073e9a5c1f2e3b6b9fe4a0ad732dfcf86b982101,2025-11-02T16:34:54.984587+00:00,2025-11-02T16:35:17+00:00,143
bf431fe1c627b79a657812521d4aae6158186acca984b55448983f01d8182444,2025-11-02T16:34:55.151639+00:00,2025-11-02T16:35:17+00:00,143
c2dfe9a30169d90180bf26302bdba62d2b33e1ed3946bd4a0204ac5f39fa8f50,2025-11-02T16:34:55.401656+00:00,2025-11-02T16:35:17+00:00,143
08af078ff37319b9f44cadff1bde7c1d0347f4e95edca7f4f64423ba26d1b2c0,2025-11-02T16:34:55.551290+00:00,2025-11-02T16:35:17+00:00,143
12c511ea88a526eec09560c882dc79507a6f29742fe2e7a60675379ba105b761,2025-11-02T16:34:55.677259+00:00,2025-11-02T16:35:17+00:00,143
a129f12fdec9ca5e734290cdcee02593d1b7050aea6dcd9ecdfff289f9d8ba79,2025-11-02T16:34:55.810401+00:00,2025-11-02T16:35:17+00:00,143
a0fd1667c680504c5f86d2da6767e6ff68b3d7467994d5546bc3e657f459b0ee,2025-11-02T16:34:55.935488+00:00,2025-11-02T16:35:17+00:00,143
e97e289303a174ceeaefb5bdfca4b95f94be4881dfabcd82d50183ddeee0f1c3,2025-11-02T16:34:56.062364+00:00,2025-11-02T16:35:17+00:00,143
e0e0a5b5007b9820f707a2d32102bd4e4764c7611a665634cf499c67f3da45e9,2025-11-02T16:34:56.186430+00:00,2025-11-02T16:35:17+00:00,143
e4021032040b511af81a6630a900def7150c71f04287fc60c09b94230ec2a592,2025-11-02T16:34:56.323260+00:00,2025-11-02T16:35:17+00:00,143
6cc3a499424492ea83fc769bed149531a5b6ca6dd72893abb0575ec873c0d7eb,2025-11-02T16:34:56.444423+00:00,2025-11-02T16:35:17+00:00,143
89f35e8f58f79228203fb46d42cbb15cad96384ee44608fd9602b018ee6a5f85,2025-11-02T16:34:56.565792+00:00,2025-11-02T16:35:17+00:00,143
f2b88596b3dd04dd835aac8d883d593dba8c41adc6389bbfee3ae9b02571d087,2025-11-02T16:34:56.696668+00:00,2025-11-02T16:35:17+00:00,143
782ff029ea49e12520e4ae86dd86a60ce91eba68f31a242ff9cd1999ad142cda,2025-11-02T16:34:56.816845+00:00,2025-11-02T16:35:17+00:00,143
